Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
View CarePlan AJAX Calls:GET Login,20,1873,702,15403,3145.59,0.000%,.10756,2.93,0.19,27877.3
View CarePlan AJAX Calls:POST Login,20,3732,2724,7431,1042.10,0.000%,.11456,7.15,0.50,63931.4
View CarePlan AJAX Calls:Profiles,20,684,296,1046,159.48,0.000%,.11917,0.14,0.19,1193.5
View CarePlan AJAX Calls:Care Plan,20,399,298,971,183.25,0.000%,.11944,0.15,0.19,1281.3
View CarePlan AJAX Calls:Care Team,20,365,305,1072,164.26,0.000%,.11939,0.16,0.19,1385.9
View CarePlan AJAX Calls:Codes,20,306,276,694,89.27,0.000%,.11940,0.14,0.19,1160.4
View CarePlan AJAX Calls:Medication,20,345,292,736,121.39,0.000%,.11938,0.14,0.19,1232.8
View CarePlan AJAX Calls:Symptoms,20,337,272,674,115.72,0.000%,.11940,0.14,0.19,1221.3
View CarePlan AJAX Calls:Providers,20,844,492,1581,271.29,0.000%,.11896,0.22,0.19,1891.3
View CarePlan AJAX Calls:Appointments,20,416,297,1671,309.29,0.000%,.11949,0.14,0.20,1233.1
View CarePlan AJAX Calls:Miscellaneous,20,370,299,804,122.44,0.000%,.11949,0.14,0.19,1175.2
TOTAL,220,879,272,15403,1424.78,0.000%,1.13547,10.44,2.14,9416.7
